damsire,IV,A/E,PRB,PRB2
Rare One,2.113,2.213,0.363,0.288
Sanglamore,1.07,0.763,0.53,0.382
Grey Desire,1.687,1.57,0.542,0.412
Signani,0,0,0.229,0.12
Gorytus,1.351,1.042,0.516,0.38
Targowice,0.775,0.934,0.448,0.305
Djarvis,1.754,0.841,0.581,0.435
Sadlers Wells,1.189,0.825,0.518,0.374
Bustino,0.775,0.611,0.497,0.349
Gildoran,1.341,0.914,0.474,0.344
Mtoto,0.976,0.861,0.509,0.361
Kalaglow,1.427,1.092,0.5,0.365
Song,0.818,0.835,0.44,0.294
Sir Ivor,0.914,0.75,0.483,0.341
Behistoun,0.894,1.031,0.548,0.376
Stanford,0.484,0.453,0.338,0.196
Al Nasr,0.942,0.91,0.462,0.322
Final Straw,1.248,1.353,0.474,0.332
Horage,0.74,0.753,0.391,0.262
Petong,0.984,0.929,0.504,0.354
Lancastrian,0.913,0.746,0.49,0.35
Formidable I,1.095,0.907,0.508,0.357
Touching Wood,1.524,1.216,0.564,0.434
Ardross,1.462,1.083,0.505,0.374
Glen Quaich,0,0,0.406,0.269
Royal Fountain,0.697,0.673,0.419,0.299
Doctor Pangloss,0,0,0.1,0.04
Dominion,0.85,0.843,0.48,0.342
Rymer,1.603,1.042,0.501,0.384
Sharpo,1.166,1.128,0.461,0.325
Wham I,3.32,1.61,0.756,0.608
Damister,1.768,1.642,0.516,0.374
Fred Astaire,1.453,1.369,0.5,0.344
High Estate,0.85,0.892,0.475,0.324
Alwasmi,1.66,1.261,0.524,0.377
Top Ville,1.564,1.001,0.532,0.4
Cyrano De Bergerac,0.486,0.552,0.408,0.254
Irish River,1.218,0.843,0.511,0.367
Tom Rolfe,0.415,0.274,0.535,0.386
Le Moss,1.039,0.883,0.494,0.359
Town And Country,0.917,0.684,0.477,0.339
Remainder Man,0.782,0.654,0.489,0.332
Deep Run,0.874,0.69,0.472,0.342
Pyjama Hunt,0.968,1.055,0.463,0.303
Tinas Pet,1.385,1.255,0.442,0.316
Altayan,2.905,1.575,0.465,0.366
Royal Vulcan,0.894,0.86,0.386,0.245
Digamist,0.479,0.418,0.498,0.326
Groom Dancer,0.852,0.779,0.486,0.339
Salluceva,0.676,0.531,0.481,0.341
Ringaro,5.811,4.444,0.5,0.5
Shirley Heights,1.347,0.953,0.528,0.382
Woodman,0.97,0.719,0.503,0.351
Teenoso,1.045,0.86,0.495,0.343
Northfields,0.93,0.86,0.47,0.318
Lomond,1.073,0.828,0.513,0.366
Vaguely Noble,1.15,0.762,0.527,0.387
Henbit,1.034,0.836,0.488,0.349
Caerleon,1.112,0.841,0.517,0.37
Caucasus,0.83,1.171,0.41,0.261
Sharpen Up,0.916,0.86,0.494,0.346
Entitled,1.291,0.921,0.543,0.418
Hard Fought,0.618,0.817,0.378,0.238
Kings Lake,0.75,0.654,0.489,0.332
Chiefs Crown,1.176,0.972,0.469,0.331
Rontino,1.5,1.252,0.524,0.384
Star Appeal,1.056,0.925,0.479,0.351
Pollerton,0.941,0.676,0.495,0.356
Chantro,0,0,0.301,0.111
Glow,0.857,0.819,0.435,0.301
Superlative,0.9,0.767,0.512,0.353
Centaine,0,0,0.395,0.273
Shareef Dancer,0.84,0.677,0.494,0.344
Mill Reef,1.247,1.042,0.51,0.362
Shaadi,1.467,1.137,0.552,0.414
Ahonoora,1.019,0.782,0.534,0.387
Phone Trick,1.701,1.245,0.499,0.388
Glint Of Gold,0.734,0.679,0.438,0.301
Tickled Pink,0,0,0.459,0.278
Last Tycoon,1.046,0.82,0.501,0.351
Roselier,0.829,0.7,0.477,0.342
Mon Capitaine,0,0,0.381,0.231
Dromod Hill,1.5,1.224,0.573,0.432
Orchestra,0.804,0.687,0.475,0.331
On Your Mark,0.28,0.241,0.435,0.296
Nureyev,1.211,0.89,0.516,0.368
Simply Great,1.032,0.886,0.5,0.36
Furry Glen,0.966,0.766,0.498,0.361
Castle Keep,1.195,0.851,0.501,0.368
Sound Reason,3.486,1.367,0.75,0.615
Alzao,0.84,0.746,0.477,0.328
Mossberry,1.55,1.538,0.568,0.389
Taufan,0.915,0.854,0.493,0.34
Ashmore,0.567,0.488,0.604,0.447
Rolfe,0.676,0.61,0.447,0.324
Bold Owl,0.423,0.527,0.419,0.259
Tirol,1.022,0.862,0.474,0.333
Bluebird,0.925,0.783,0.486,0.334
Fast,0,0,0.28,0.133
Averof,0,0,0.37,0.205
Darshaan,1.117,0.83,0.525,0.378
The Parson,1.215,0.911,0.472,0.347
In The Wings,1.382,1.004,0.552,0.402
Alleged,1.369,0.866,0.574,0.428
Crash Course,0.935,0.781,0.498,0.356
Akarad,1.427,0.899,0.526,0.395
Homing,0.875,0.687,0.489,0.35
Royal Palace,1.025,0.844,0.533,0.376
Our Native,0.258,0.291,0.383,0.248
Slip Anchor,0.893,0.703,0.522,0.37
Hatim,0,0,0.317,0.166
Hay Chas,0,0,0.319,0.225
Kendor,2.324,1.577,0.647,0.489
Effervescing,2.49,1.294,0.626,0.513
Vice Regent,1.094,0.703,0.492,0.362
Balinger,1.775,1.075,0.47,0.373
Tyrnavos,1.66,1.09,0.545,0.407
Glenstal,1.105,0.977,0.521,0.37
Rainbows For Life,0.637,0.586,0.443,0.297
Roscoe Blake,0.942,0.924,0.482,0.344
Chief Singer,1.227,0.978,0.555,0.402
Wolver Heights,0,0,0.198,0.039
Scottish Reel I,1.209,1.024,0.513,0.365
Keen,0.85,0.935,0.365,0.236
Sir Mago,0.415,0.478,0.415,0.293
Cardinal Flower,1.423,1.096,0.453,0.331
Sallust,0.712,0.655,0.471,0.318
Far North,0.387,0.449,0.407,0.272
High Top,0.517,0.513,0.436,0.293
Kind Of Hush,1.028,0.982,0.429,0.288
Golden Love I,1.172,0.929,0.533,0.394
King Of Clubs I,0.31,0.371,0.421,0.261
Robellino,0.738,0.685,0.482,0.329
Danzig Connection,0.27,0.3,0.421,0.252
Le Marmot,0,0,0.067,0.004
Celtic Cone,1.254,1.043,0.492,0.369
Be My Guest,0.883,0.701,0.482,0.337
Main Reef I,1.153,0.922,0.51,0.351
Derrylin,1.535,1.276,0.43,0.305
Quart De Vin,2.064,1.144,0.531,0.419
Night Shift,1.246,0.898,0.522,0.381
Dancing Brave,1.183,0.934,0.502,0.349
Blushing Groom,1.032,0.743,0.502,0.361
Topsider,0.987,0.969,0.495,0.345
The Minstrel,1.018,0.806,0.488,0.341
Distinctly North,0.696,0.697,0.457,0.313
Astronef,0.65,0.741,0.344,0.203
Broken Hearted,1.114,1.169,0.531,0.386
Salse,0.878,0.818,0.442,0.297
Slew OGold,1.015,0.774,0.489,0.345
Machiavellian,1.047,0.76,0.528,0.376
Green Shoon,1.213,0.722,0.468,0.357
Lyphard,1.135,0.862,0.508,0.363
Politico,0,0,0.434,0.261
