dam,IV,A/E,PRB,PRB2
Rare Luck GB,3.32,2.587,0.456,0.403
Delta Town (USA),0.93,0.622,0.55,0.41
Pride Of Pendle GB,1.937,1.586,0.508,0.426
Obole III (FR),0,0,0.261,0.132
Bayrouge (IRE),1.056,0.655,0.58,0.388
Shalta (FR),1.937,1.41,0.637,0.446
Emeraude Du Moulin (FR),2.324,1.249,0.522,0.369
Raneen Alwatar GB,0.646,0.774,0.441,0.297
Riverain GB,0,0,0.207,0.083
Miss Arc GB,0,0,0.1,0.01
Wathbat Mtoto GB,0,0,0,0
Tees Gazette Girl GB,2.682,1.496,0.697,0.54
Mazurkanova GB,0.775,0.564,0.652,0.484
Tebre (USA),0.684,0.483,0.525,0.331
Dulcidene GB,0.894,1.031,0.548,0.376
Ace Girl GB,0,0,0.185,0.07
Atisayin (USA),0,0,0.504,0.333
Lap Of Honour GB,0,0,0.455,0.207
Brown Foam GB,0,0,0.259,0.15
Jennys Call GB,0,0,0.631,0.479
Little Crack (IRE),0,0,0.259,0.135
Miss Hardy GB,0,0,0.245,0.108
Alvecote Lady GB,0,0,0.506,0.39
City Ex GB,3.874,3.834,0.708,0.547
Rare Glen GB,0,0,0.586,0.457
Here Comes Tibby GB,2.905,1.248,0.739,0.586
Valentines Day GB,0,0,0.1,0.04
Choire Mhor GB,0,0,0.2,0.111
Shultan (IRE),1.162,1.229,0.42,0.313
Elita GB,4.649,3.853,0.662,0.59
Take Care (NZ),3.32,1.61,0.756,0.608
Broom Isle GB,0,0,0.44,0.252
Crystal Stepper (USA),1.453,1.369,0.5,0.344
Highly Respected (IRE),1.835,2.167,0.565,0.412
Southern Psychic (USA),1.66,1.261,0.524,0.377
Grace Note (FR),0,0,0.25,0.062
Cyrano Imperial (IRE),0,0,0.115,0.024
Ahliyat (USA),0,0,0,0
Madam Margeaux (IRE),2.583,1.078,0.779,0.638
Rolfete (USA),0,0,0.539,0.38
Mossy Mistress (IRE),2.324,1.353,0.564,0.402
Country Mistress GB,1.056,1.014,0.249,0.175
Some Shiela GB,0,0,0.2,0.04
May Lady GB,0,0,0.071,0.02
Damara (POL),1.937,2.081,0.365,0.251
Sweet Mignonette GB,0,0,0.717,0.527
Gratiene de lIsle (FR),2.905,1.622,0.614,0.487
Ath Leathan GB,2.905,2.395,0.438,0.328
Olivias Pride I (IRE),0,0,0.44,0.249
La Groupie (FR),0.684,0.57,0.57,0.413
Ballyvooney GB,0,0,0.125,0.062
Little Wing (ARG),5.811,4.444,0.5,0.5
Shirley Blue (IRE),3.099,1.482,0.737,0.635
Bibliotheque (USA),0,0,0.419,0.242
Bollin Magdalene GB,1.09,0.766,0.543,0.389
Alsiba GB,0,0,0.38,0.233
Noble Peregrine GB,0.968,0.635,0.584,0.399
Vaguely Deesse (USA),1.453,1.017,0.549,0.363
Ravensdale Rose I (IRE),2.113,1.495,0.615,0.462
Sun Screen GB,0.553,0.552,0.486,0.335
Pat Us (USA),0.968,1.507,0.464,0.304
Relatively Sharp GB,0,0,0.269,0.109
Reacted (IRE),1.66,2,0.374,0.278
Pugilistic GB,0,0,0.211,0.107
Marilyn (IRE),0,0,0.392,0.236
Cloudslea (USA),1.937,1.558,0.481,0.367
Heart Broken GB,0,0,0.026,0.002
Princess Tino (IRE),1.453,0.929,0.631,0.47
Star Cream GB,0.484,0.433,0.501,0.375
Pollyville GB,2.324,1.497,0.733,0.566
Let Me Finish GB,0,0,0.301,0.111
Cant Afford It (IRE),0.505,0.692,0.489,0.372
Supergreen GB,1.291,0.672,0.452,0.382
Dynataine (NZ),0,0,0.204,0.084
Perfect Poppy GB,1.291,0.996,0.563,0.402
Catawba GB,2.682,2.408,0.468,0.348
Yemaail (IRE),2.421,1.32,0.623,0.498
Sunlit Ride GB,0,0,0.41,0.205
Distinct Beauty (USA),2.583,1.648,0.634,0.498
Delvecchia GB,0,0,0.5,0.264
Stoneydale GB,0,0,0.222,0.049
Desert Bloom (FR),1.223,1.139,0.427,0.297
Diplomatist GB,0,0,0.315,0.162
Castlemitchle (IRE),2.905,1.444,0.621,0.48
Surf Bird GB,1.162,0.786,0.607,0.464
Salvation Sue GB,0,0,0.381,0.231
Royal Nora (IRE),2.324,1.19,0.434,0.337
Poundworld (IRE),0,0,0.429,0.236
Grotto Princess GB,0,0,0.286,0.082
Stroked Again GB,0,0,0.243,0.118
Forever Silver (IRE),0,0,0.397,0.243
Yafill (USA),0.968,1.032,0.576,0.404
Morgannwg (IRE),1.66,1.566,0.519,0.418
Woodland Flower GB,3.32,1.32,0.719,0.605
Queen Matilda GB,0.726,0.299,0.555,0.447
Agent Jane (NZ),2.905,1.369,0.664,0.502
Token Gesture (IRE),0,0,0.423,0.248
Mossberry Fair GB,3.874,2.365,0.724,0.569
Hand On Heart I (IRE),1.453,1.405,0.393,0.27
Jamies Lady GB,1.056,0.731,0.663,0.513
Needwood Poppy GB,0,0,0.427,0.307
Needwood Nymph GB,0,0,0.402,0.24
Prime Property (IRE),1.162,0.927,0.383,0.234
Beating The Buzz (IRE),0,0,0.188,0.035
Alalja (IRE),0,0,0.174,0.086
Ballerine Du Bost (FR),0,0,0.205,0.06
Queen Of The Brush GB,0,0,0.32,0.132
Sharakawa (IRE),1.66,1.057,0.626,0.481
Cooks Lawn GB,1.162,0.674,0.556,0.439
Mannequin (IRE),2.583,1.267,0.753,0.623
Madigan Mill GB,0,0,0.246,0.134
Summer Trysting (USA),0.726,0.538,0.57,0.37
Crashrun GB,1.516,1.289,0.593,0.421
Moomaw GB,2.905,0.981,0.688,0.587
Royal Loft GB,1.453,1.343,0.479,0.337
Callace GB,2.583,1.359,0.639,0.487
Aimee Jane (USA),0,0,0.249,0.138
Leyete Gulf (IRE),0,0,0.296,0.14
Hanim (IRE),0,0,0.395,0.216
Shylyn GB,0,0,0.319,0.225
LHeure Bleue (IRE),0,0,0,0
Sister Sophie (USA),3.874,1.35,0.689,0.559
Manhattan Girl (USA),0,0,0.695,0.61
Sixfoursix GB,0,0,0.837,0.707
Snipe Singer GB,3.874,2.154,0.857,0.746
Nilousha GB,2.324,1.421,0.61,0.48
Debs Ball GB,1.516,1.029,0.452,0.347
So Saucy GB,2.447,1.989,0.55,0.389
Thorntoun Belle (IRE),0,0,0.25,0.125
Kayradja (IRE),0,0,0.301,0.133
Colonial Princess GB,0,0,0.391,0.271
Tirhala (IRE),3.32,2.482,0.536,0.42
Wolver Top GB,0,0,0.198,0.039
Highland Spirit I GB,1.453,2.751,0.425,0.31
Audeen GB,0,0,0.046,0.003
Scalby Clipper GB,0,0,0.097,0.021
Nasowas (IRE),1.291,1.652,0.534,0.363
Filicaia GB,0,0,0.632,0.473
Mistral Wood (USA),0,0,0.633,0.471
Plaything GB,0,0,0.336,0.202
Amusing Time (IRE),0,0,0.51,0.328
Stealthy GB,0.894,0.938,0.508,0.336
Delia Murphy GB,1.162,1.357,0.518,0.359
Adjalisa (IRE),0.894,0.667,0.544,0.381
Gaye Gordon GB,0,0,0.399,0.259
Clubhouse Turn (IRE),0,0,0.403,0.254
Pharaohs Joy GB,0.726,0.556,0.599,0.453
Castellina (USA),0.505,0.561,0.402,0.25
Servia GB,0,0,0.067,0.004
Sip Of Orange GB,4.981,2.589,0.804,0.76
Kompetenz (IRE),1.056,0.691,0.597,0.463
Scottish Clover GB,4.981,1.311,0.749,0.668
Upend GB,2.235,1.409,0.564,0.417
Sesame GB,0,0,0.627,0.402
Licorne I GB,0,0,0.272,0.137
Roseraie (FR),4.649,1.662,0.685,0.609
Miss Kylogue (IRE),0,0,0.247,0.194
Cultural Role GB,3.874,1.419,0.684,0.599
Hagwah (USA),0.375,0.336,0.45,0.301
Quandary (USA),1.453,0.732,0.608,0.49
Watheeqah (USA),2.905,1.696,0.643,0.508
Winged Victory (IRE),1.937,1.672,0.627,0.456
Daralaka (IRE),0.894,0.436,0.525,0.396
Novelette GB,1.056,1.099,0.402,0.267
Sea Magic (IRE),0,0,0.249,0.148
Ayodhya (IRE),1.603,1.299,0.465,0.318
Lindrick Lady (IRE),0,0,0.229,0.086
Alacrity GB,0,0,0.368,0.194
Myrrh GB,0,0,0.162,0.058
Delightful Linda (USA),0,0,0.018,0.001
Come To Tea (IRE),0,0,0.504,0.355
Hidden Agenda (FR),0,0,0.301,0.175
Wooden Pudden (USA),5.811,4.923,0.808,0.732
Emmagreen GB,0,0,0.381,0.226
Kottna (USA),2.905,1.418,0.565,0.462
Unas Polly GB,0,0,0.583,0.34
Political Mill GB,0,0,0.453,0.265
LEternite (FR),1.453,0.991,0.514,0.435
Queens RoyaleI GB,0,0,0,0
Florrie Palmer GB,0,0,0,0
Pure Moon (FR),1.66,0.944,0.589,0.455
Martha Stevens (USA),0,0,0.308,0.167
Water Course (USA),0.646,0.405,0.421,0.264
Dusty Lane (IRE),1.66,0.908,0.55,0.423
Lucky Pick GB,0,0,0.435,0.271
My Charm (NZ),0,0,0.398,0.243
Been About (IRE),0,0,0,0
Jobiska GB,3.874,3.136,0.688,0.596
Elka (USA),1.453,1.163,0.621,0.466
Stoproveritate GB,4.981,2.045,0.889,0.805
Hilarys Penny GB,0,0,0.545,0.312
Loshian (IRE),1.937,1.075,0.597,0.45
Manettia (IRE),0,0,0.329,0.218
Awentina (FR),0,0,0.456,0.334
Katie Dick (IRE),0,0,0.234,0.077
Its Good Ere GB,0,0,0.113,0.026
Misty Night GB,0,0,0.488,0.276
Arctic Laura GB,0,0,0.147,0.029
Hadawah (USA),0.484,0.477,0.502,0.369
Arctic Gale (IRE),0,0,0,0
Intense (FR),5.811,1.739,0.849,0.754
Legend Of Aragon GB,0,0,0.675,0.498
Grand Queen GB,3.32,1.316,0.892,0.805
Sally Ho GB,0,0,0.472,0.376
Madame Jean (FR),0,0,0.578,0.334
Owenageera (IRE),0,0,0.659,0.486
Goldaw GB,0,0,0.303,0.099
Umbrella (FR),0,0,0.226,0.096
Scotch Imp GB,0,0,0.056,0.006
Watership (USA),0,0,0.028,0.002
Milly LAttaque GB,4.649,1.906,0.747,0.701
Ballinderry Moss GB,0,0,0.715,0.607
Roseaustin (IRE),3.874,1.726,0.919,0.848
Gull Mundur (NZ),3.32,2.349,0.775,0.631
Minature Miss GB,2.113,2.526,0.623,0.479
Wild Bramble (IRE),0,0,0.202,0.11
Celestine GB,0,0,0.351,0.236
Bequeath (USA),0,0,0.33,0.164
Orange Spice GB,0,0,0.373,0.249
Stormy Wave GB,3.874,3.252,0.688,0.549
Boulevard Girl GB,1.453,2.687,0.304,0.198
Madam Beau GB,0,0,0.167,0.043
Sally Gap GB,2.179,1.984,0.529,0.402
Gold Caste (USA),1.162,1.609,0.548,0.406
Grey Angel I GB,0,0,0.269,0.173
Zinzi GB,0,0,0.215,0.098
Welsh Diamond GB,2.324,1.995,0.527,0.439
Hibernica (IRE),0,0,0.077,0.018
Royal Wolff GB,0.968,1.088,0.483,0.361
Kate Kimberley GB,3.32,2.092,0.775,0.651
Cuando Quiere (USA),0.968,0.628,0.615,0.432
Money Run GB,0,0,0.339,0.158
Furena GB,0,0,0.434,0.267
Sponsorship GB,1.453,2.361,0.373,0.231
Celtic Sands GB,1.291,1.171,0.52,0.379
Wellwotdouthink GB,2.682,1.084,0.64,0.541
White Domino GB,0,0,0.554,0.367
Reve En Rose GB,0,0,0.725,0.552
Carat Stick GB,1.788,1.419,0.652,0.515
Amerindian GB,0,0,0.589,0.407
Kamaress GB,2.734,2.426,0.534,0.4
Rose Bay GB,0,0,0.52,0.323
Just A Gem GB,1.585,1.758,0.539,0.365
Burling Moss GB,0,0,0.355,0.144
What A Pet GB,0,0,0.229,0.132
Zaras Birthday (IRE),0,0,0.476,0.336
Knockacool Breeze GB,3.169,1.743,0.731,0.606
Showphar (IRE),1.056,0.607,0.522,0.415
Kalmia GB,0,0,0.605,0.487
Strikes Glen GB,0,0,0.276,0.158
Hat Hill GB,0,0,0.432,0.256
Instant Desire (USA),0,0,0.166,0.072
Duright GB,1.66,1.107,0.539,0.427
Midsummer Blends (IRE),0,0,0.241,0.147
Celtic Lane GB,1.453,2.002,0.399,0.312
Marnworth GB,0,0,0.148,0.079
Catch The Sun GB,0,0,0.933,0.871
Wiscaria (GER),0,0,0.621,0.453
Dawns Della GB,0,0,0.46,0.296
Rafif (USA),2.905,1.74,0.469,0.358
