horse,IV,A/E,PRB,PRB2
Galero (GB),7.748,4.367,0.667,0.667
Classic Event I (IRE),1.162,0.73,0.487,0.369
Pendle Forest (IRE),2.324,1.65,0.609,0.512
Kippour (FR),0,0,0.261,0.132
Rouge Et Noir (GB),1.056,0.655,0.58,0.388
Emperors Monarch (GB),1.937,1.41,0.637,0.446
Lutin Du Moulin (FR),2.324,1.249,0.522,0.369
Ruggtah (GB),0,0,0.235,0.073
Abbey Princess (GB),0,0,0.309,0.15
Over Booked (GB),0,0,0.1,0.01
Waftam (GB),0,0,0,0
Time Marches On (GB),2.682,1.496,0.697,0.54
Power And Demand (GB),0,0,0.716,0.548
Tiger Talk (GB),0.684,0.483,0.525,0.331
In Good Faith (GB),0.894,1.031,0.548,0.376
Disgrace (GB),0,0,0.318,0.202
Bargain Hunt (IRE),0,0,0.557,0.379
Final Lap (GB),0,0,0.455,0.207
Maunby Roller (IRE),0,0,0.151,0.05
Arjay (GB),0,0,0.688,0.522
The Masareti Kid (IRE),0,0,0.259,0.135
Shady Man (GB),0,0,0.153,0.035
Tsunami (GB),0,0,0,0
Has Scored (IRE),3.874,3.834,0.708,0.547
Rare Society (IRE),0,0,0.649,0.534
Reivers Moon (GB),2.905,1.248,0.739,0.586
Whitfield Warrior (GB),0,0,0.1,0.04
Plutocrat (GB),0,0,0.2,0.111
Ryminster (GB),1.937,1.584,0.312,0.294
Debbie (GB),4.649,3.853,0.662,0.59
Stan (NZ),3.32,1.61,0.756,0.608
Bolshoi Ballet (GB),0,0,0.44,0.252
Mister Arjay (USA),1.453,1.369,0.5,0.344
Sir Night (IRE),1.788,2.117,0.579,0.406
Wing Commander (GB),2.113,1.868,0.434,0.283
Gracilis (IRE),0,0,0.25,0.062
Beyond The Pale I (IRE),0,0,0.062,0.008
Allude (IRE),0,0,0,0
Real Shady (GB),5.811,1.674,0.929,0.867
Xaipete (IRE),0,0,0.539,0.38
Forest Dante (IRE),2.324,1.353,0.564,0.402
Themanfromcarlisle (GB),2.324,1.946,0.28,0.232
Dingo Dancer (GB),0,0,0.2,0.04
Garde Bien (GB),0,0,0.071,0.02
Darab (POL),1.937,2.081,0.365,0.251
Reseda (IRE),0,0,0.833,0.694
Moustique De LIsle (FR),2.905,1.622,0.614,0.487
Yankee Crossing (IRE),0,0,0.25,0.125
Diamond Orchid (IRE),0,0,0.333,0.111
Flemming (USA),1.291,1.131,0.53,0.411
Treybor (IRE),0,0,0.125,0.062
Beanney (ARG),5.811,4.444,0.5,0.5
Crathorne (IRE),3.099,1.482,0.737,0.635
McqueenI (IRE),0,0,0.32,0.175
Bollin Thomas (GB),1.107,0.776,0.574,0.414
Dalriath (GB),0,0,0.383,0.244
Noble Pursuit (GB),0,0,0.461,0.246
Corlande (IRE),1.453,1.017,0.549,0.363
Mamore Gap (IRE),1.162,1.902,0.498,0.318
Barton Sun (IRE),0,0,0.36,0.25
Rocket Force (USA),0.968,1.507,0.464,0.304
Blunham (GB),0,0,0.269,0.109
Grand Manner (IRE),1.66,2,0.374,0.278
Bertie Arms (GB),0,0,0.138,0.054
Movie King I (IRE),0,0,0.392,0.236
Zanjeer (GB),2.324,1.699,0.515,0.417
Winsabonus (GB),0,0,0.026,0.002
Kids Inheritance (IRE),2.324,1.293,0.613,0.473
Star Trooper (IRE),0,0,0.581,0.425
Sharp Single (IRE),2.324,1.497,0.733,0.566
Pink Harbour (GB),0,0,0.301,0.111
Valuable (IRE),0,0,0.455,0.316
Super Dolphin (GB),1.291,0.672,0.452,0.382
Gabla (NZ),0,0,0.204,0.084
Armentieres (GB),1.291,0.996,0.563,0.402
Purr (GB),0,0,0.337,0.169
Katie Kai (GB),0,0,0.508,0.304
My Sunshine (IRE),0,0,0.475,0.245
Exit Fast (USA),0,0,0.444,0.198
Delfinia (GB),0,0,0.5,0.264
Prince Renesis (GB),0,0,0.222,0.049
Faites Vos Jeux (GB),0,0,0,0
Mind Play (GB),0,0,0.056,0.006
Time To Reflect (IRE),2.905,1.444,0.621,0.48
Kelantan (GB),1.937,0.864,0.707,0.57
Lord Capitaine (IRE),0,0,0.381,0.231
Imperial Dream (IRE),2.324,1.19,0.434,0.337
Only One Matty (IRE),0,0,0.429,0.184
Finbars Revenge (GB),0,0,0.286,0.082
Contract Scotland (IRE),0,0,0.222,0.123
Forever Eyesofblue (GB),0,0,0.397,0.243
Ipledgeallegiance (USA),0.968,1.032,0.576,0.404
Welsh Dream (GB),1.453,1.577,0.657,0.512
Stamparland Hill (GB),0,0,0.625,0.489
Borehill Joker (GB),0.726,0.299,0.555,0.447
