sire,IV,A/E,PRB,PRB2
Overbury (IRE),0.824,0.734,0.485,0.343
Croco Rouge (IRE),0.792,0.606,0.518,0.365
Charnwood Forest (IRE),0.848,0.775,0.462,0.311
Luchiroverte (IRE),0.528,0.44,0.387,0.276
Hernando (FR),1.32,0.907,0.54,0.39
Emperor Fountain (GB),0.632,0.763,0.448,0.288
Saint Preuil (FR),1.453,0.934,0.55,0.411
Daylami (IRE),0.853,0.593,0.509,0.352
Prince Daniel (USA),0.775,0.792,0.366,0.238
Compton Place (GB),0.974,0.807,0.512,0.367
Timeless Times (USA),0.677,0.706,0.474,0.324
Formidable I (USA),0.612,0.611,0.652,0.486
Sabrehill (USA),1.411,1.149,0.504,0.37
Beveled (USA),1.028,0.919,0.488,0.34
Distinctly North (USA),0.968,0.964,0.417,0.289
Foxhound (USA),0.829,0.699,0.513,0.365
Batshoof (GB),0.314,0.282,0.49,0.333
Flying Spur (AUS),0.779,0.716,0.463,0.324
Shaamit (IRE),0.781,0.806,0.429,0.289
Commanche Run (GB),0.861,0.83,0.453,0.31
Sadlers Wells (USA),1.401,0.833,0.516,0.379
Deep Society (GB),0,0,0.419,0.324
Midnight Legend (GB),1.291,1.218,0.552,0.421
Husyan (USA),1.312,0.982,0.524,0.401
Polar Falcon (USA),0.904,0.716,0.512,0.361
Minster Son (IRE),0.935,0.819,0.463,0.33
Deploy (GB),1.235,1.045,0.482,0.341
Super Imposing (NZ),3.32,1.61,0.756,0.608
Dancing Spree (USA),0.775,0.878,0.459,0.3
Mister Baileys (GB),0.999,0.889,0.493,0.338
Night Shift (USA),1.186,0.985,0.488,0.342
Royal Applause (GB),1.072,0.857,0.515,0.365
Caerleon (USA),1.384,1.159,0.517,0.371
Be My Native (USA),1.409,0.973,0.497,0.371
Darshaan (GB),1.655,1.024,0.545,0.409
Bobs Return (IRE),0.715,0.599,0.468,0.33
Jolly Jake (NZ),0.451,0.335,0.444,0.312
Phardante (FR),0.751,0.663,0.444,0.31
Jupiter Island (GB),0.632,0.699,0.445,0.313
Dancing High (GB),1.162,0.88,0.48,0.373
Afzal (IRE),0.88,0.737,0.406,0.294
Alywar (USA),3.058,2.871,0.557,0.43
Rock Hopper (GB),0.327,0.353,0.419,0.271
Dom Alco (FR),2.513,1.147,0.591,0.491
Lord Americo (IRE),0.763,0.653,0.483,0.345
Victory Note (USA),0.825,0.723,0.508,0.349
Green Dancer (USA),0.581,0.637,0.423,0.281
Bob Back (USA),1.16,0.755,0.53,0.397
Handsome Halo (ARG),5.811,4.444,0.5,0.5
Alzao (USA),1.113,0.886,0.502,0.361
Barathea (IRE),0.819,0.662,0.469,0.322
Alhijaz (GB),1.332,1.206,0.497,0.358
Fraam (GB),0.976,0.919,0.483,0.339
Pursuit Of Love (GB),0.823,0.698,0.481,0.335
Teamster (GB),1.223,1.016,0.469,0.321
General Monash (USA),0.789,0.759,0.454,0.302
Indian Ridge (IRE),1.261,0.873,0.558,0.411
Spinning World (USA),1.428,1.142,0.516,0.376
Danzig Connection (USA),0.687,0.674,0.452,0.298
Desert Style (IRE),0.98,0.798,0.497,0.347
Cloudings (IRE),1.098,1.139,0.462,0.325
Catrail (USA),0.616,0.563,0.422,0.277
Averti (IRE),0.968,0.986,0.451,0.304
Defacto I (USA),0.204,0.53,0.315,0.178
Presenting (GB),1.116,0.865,0.513,0.374
Brief Truce (USA),0.726,0.549,0.523,0.382
Supreme Leader (GB),1.309,0.872,0.529,0.398
Rakaposhi King (GB),0.885,0.796,0.457,0.311
Jurado (USA),0.985,0.821,0.467,0.335
Dolphin Street (FR),0.879,0.785,0.49,0.344
Prince Of Praise (NZ),0,0,0.204,0.084
Robellino (USA),0.866,0.742,0.489,0.332
Cayman Kai (IRE),0.342,0.368,0.467,0.306
Announce (USA),0,0,0.444,0.198
Kingsinger (IRE),1.278,1.69,0.463,0.321
Mind Games (GB),0.631,0.65,0.444,0.299
Anshan (GB),1.019,0.79,0.494,0.357
Kris (GB),0.846,0.635,0.51,0.362
Mister Lord (USA),0.898,0.755,0.441,0.318
Roselier (FR),1.165,0.782,0.492,0.364
Satco (FR),0.634,0.537,0.435,0.284
Gildoran (IRE),0.744,0.688,0.416,0.31
Religiously (USA),1.083,0.864,0.472,0.348
Leading Counsel (USA),1.523,1.005,0.539,0.395
Alleged (USA),1.5,1.311,0.569,0.405
Mtoto (GB),1.234,0.932,0.503,0.369
Pure Melody (USA),0.612,0.296,0.517,0.405
Stark South (USA),1.395,0.973,0.524,0.36
Cadeaux Genereux (GB),1.238,0.959,0.517,0.373
Double Eclipse (IRE),1.453,1.131,0.532,0.387
Toulon (GB),1.301,0.777,0.57,0.435
Charmer (IRE),0.861,0.862,0.453,0.323
Rolfe (USA),0.894,0.809,0.52,0.339
Bal Harbour (GB),1.223,1.097,0.467,0.345
Holy Bull (USA),0,0,0.173,0.049
Mont Basile (FR),0,0,0.195,0.062
Second Set (IRE),0.653,0.631,0.505,0.338
Tenby (GB),1.853,1.135,0.601,0.463
Teenoso (USA),0.848,0.651,0.47,0.347
Sri Pekan (USA),1.074,0.867,0.538,0.389
Exit To Nowhere (USA),0.908,0.664,0.424,0.306
Salse (USA),0.662,0.633,0.474,0.319
Cyborg (FR),0.999,0.61,0.497,0.362
Presidium (GB),0.585,0.665,0.465,0.301
Missed Flight (GB),1.291,1.79,0.443,0.338
Definite Article (GB),1.11,0.861,0.517,0.368
Silly Prices (GB),0,0,0.395,0.216
Romany Rye (GB),0,0,0.295,0.191
Platini (GER),1.202,0.795,0.444,0.312
Docksider (USA),1.026,0.95,0.503,0.352
Acatenango (GER),1.748,0.945,0.64,0.512
Carroll House (IRE),1.254,0.854,0.511,0.373
Old Vic (GB),1.673,1.128,0.552,0.423
Amfortas (IRE),0.894,0.944,0.51,0.357
Hawkstone (IRE),0,0,0.461,0.341
Kings Theatre (IRE),0.757,0.623,0.471,0.331
Revoque (IRE),0.709,0.579,0.512,0.36
Oscar (IRE),1.036,0.766,0.533,0.388
Needle Gun (IRE),0.975,0.844,0.474,0.329
Bijou DInde (GB),0.492,0.469,0.48,0.322
Past Glories (GB),1.202,1.296,0.409,0.307
Saddlers Hall (IRE),0.749,0.694,0.488,0.329
Petit Loup (USA),1.453,0.764,0.636,0.492
Paris House (GB),1.004,0.964,0.486,0.342
Rudimentary (USA),1.098,1.017,0.458,0.316
Desert Prince (IRE),1.074,0.818,0.529,0.382
Sir Harry Lewis (USA),1.304,0.962,0.522,0.38
Broken Hearted (GB),0.721,0.723,0.436,0.296
Woodman (USA),1.105,0.889,0.468,0.329
Bering (GB),1.227,0.887,0.49,0.341
Treasure Hunter (GB),1.332,0.891,0.471,0.367
Law Society (USA),1.085,0.787,0.546,0.397
Ashkalani (IRE),0.791,0.703,0.516,0.362
Video Rock (FR),1.859,0.952,0.508,0.389
Good Thyne (USA),1.077,0.797,0.475,0.349
Rainbow Quest (USA),1.172,0.776,0.479,0.347
Peintre Celebre (USA),1.008,0.803,0.513,0.369
Starborough (GB),0.811,0.523,0.495,0.353
Daggers Drawn (USA),0.576,0.583,0.435,0.283
Singspiel (IRE),1.187,0.775,0.554,0.407
Rakeen (USA),0,0,0.236,0.095
Among Men (USA),0.762,0.823,0.429,0.298
Groom Dancer (USA),1.037,0.908,0.489,0.342
In Command (IRE),0.447,0.5,0.492,0.334
Rahy (USA),1.719,1.291,0.503,0.375
Desert King (IRE),1.056,0.827,0.537,0.379
Great Dane (IRE),0,0,0.366,0.227
Trempolino (USA),1.312,0.941,0.578,0.437
Derrylin (GB),0.83,0.623,0.463,0.345
Mirror Boy (GB),0,0,0.37,0.176
Le Balafre (FR),0.775,0.567,0.497,0.389
Tinoco (GB),0,0,0,0
En Calcat (FR),1.453,1.012,0.482,0.355
Zilzal (USA),0.854,0.752,0.519,0.363
Diesis (GB),1.286,0.956,0.502,0.361
Denel (FR),1.025,0.851,0.499,0.363
Turtle Island (IRE),0.625,0.599,0.473,0.319
Grosvenor (NZ),1.937,1.229,0.529,0.418
Euphemism (GB),0,0,0,0
Classic Cliche (IRE),0.672,0.721,0.516,0.36
Emperor Jones (USA),0.652,0.679,0.447,0.301
Most Welcome (GB),1.585,1.215,0.558,0.407
Cadoudal (FR),1.441,0.895,0.536,0.412
Norwich (GB),1.008,0.765,0.478,0.337
Beneficial (GB),1.019,0.683,0.523,0.375
Environment Friend (GB),0.704,0.651,0.465,0.33
Bahhare (USA),0.778,0.779,0.457,0.304
Kings Ride (IRE),1.201,0.862,0.448,0.336
Sleeping Car (FR),2.905,1.236,0.559,0.461
Unfuwain (USA),1.573,1.108,0.542,0.402
Primitive Rising (USA),1.082,1.049,0.453,0.336
Pistolet Bleu (IRE),1.332,1.032,0.549,0.402
Boston Two Step (USA),0,0,0.45,0.29
Keen (GB),0,0,0.333,0.19
Pivotal (GB),1.018,0.753,0.526,0.377
Perpendicular (GB),0.664,0.598,0.456,0.333
Zaffaran (USA),0.928,0.749,0.493,0.356
Beau Zam (NZ),3.32,2.349,0.775,0.631
Over The River (FR),1.27,0.846,0.493,0.377
Syrtos (GB),0.342,0.316,0.37,0.259
Royal Fountain (GB),1.256,0.898,0.448,0.317
Muhtarram (USA),0.797,0.758,0.471,0.321
Magical Wonder (USA),1.004,0.794,0.516,0.377
Mazaad (IRE),1.107,0.996,0.461,0.325
Mark Of Esteem (IRE),1.208,0.928,0.526,0.379
Magic Ring (IRE),1.175,1.055,0.489,0.344
Jumbo Hirt (USA),0.712,1.151,0.373,0.242
Ali-Royal (IRE),0.563,0.576,0.482,0.326
Arzanni (GB),1.585,1.078,0.475,0.361
Pine Bluff (USA),1.107,0.703,0.564,0.389
Nomadic Way (USA),0.922,0.799,0.534,0.389
Broussard (USA),1.162,1.184,0.542,0.403
Ovac (ITY),1.453,2.361,0.373,0.231
First Trump (GB),0.784,0.78,0.457,0.309
Hamas (IRE),1.439,1.136,0.504,0.373
Wizard King (GB),0.853,0.879,0.46,0.318
Tragic Role (USA),1.049,0.948,0.473,0.341
Alflora (IRE),0.964,0.75,0.426,0.309
Petong (GB),0.546,0.716,0.379,0.239
Moscow Society (USA),1.065,0.729,0.506,0.369
Insan (USA),0.758,0.51,0.495,0.373
Blushing Flame (USA),1.025,0.756,0.496,0.357
Machiavellian (USA),1.443,0.923,0.53,0.384
Hector Protector (USA),0.601,0.524,0.445,0.302
Lead On Time (USA),0,0,0.499,0.3
Tinas Pet (GB),0.738,0.838,0.472,0.333
Linamix (FR),1.35,1.057,0.5,0.354
In The Wings (GB),1.556,1.077,0.544,0.403
Fleetwood (IRE),0.481,0.509,0.449,0.303
Fourstars Allstar (USA),0.905,0.855,0.471,0.332
Slip Anchor (GB),0.766,0.556,0.513,0.366
Flemensfirth (USA),0.775,0.665,0.509,0.361
Bigstone (IRE),0.753,0.685,0.471,0.312
Corrouge (USA),0.646,0.549,0.496,0.348
Tiger Hill (IRE),0.447,0.526,0.411,0.261
April Night (FR),1.162,1.226,0.459,0.311
Milieu (GB),0.447,0.736,0.313,0.215
Hatim (USA),0.264,0.337,0.337,0.206
Lycius (USA),1.001,0.876,0.529,0.379
Lord Bud (GB),1.66,1.828,0.522,0.401
Songlines (FR),1.291,1.453,0.61,0.438
Taufan (USA),0.646,0.539,0.557,0.367
Zafonic (USA),1.367,0.907,0.528,0.386
Common Grounds (GB),1.056,0.924,0.509,0.365
Scallywag (GB),0,0,0.419,0.269
Sea Raven (IRE),0,0,0.367,0.198
Benny The Dip (USA),0.676,0.582,0.487,0.329
Medicus (GER),0,0,0.59,0.419
Rashar (USA),0.775,0.721,0.437,0.298
Heroicity (AUS),0,0,0.471,0.388
Im Supposin (IRE),0,0,0.223,0.096
Gran Alba (USA),0.332,0.416,0.367,0.228
Rambo Dancer (CAN),0.387,0.454,0.349,0.216
Posen (USA),0.968,1.238,0.406,0.292
Shareef Dancer (USA),0.273,0.291,0.49,0.326
Polykratis (GB),0,0,0,0
Red Ransom (USA),1.076,0.723,0.539,0.391
Shuailaan (USA),0,0,0.505,0.311
Arctic Lord (IRE),1.044,0.836,0.506,0.365
Nashwan (USA),1.069,0.808,0.474,0.334
Rainbows For Life (CAN),0.939,0.858,0.472,0.339
Aragon (GB),0.122,0.128,0.417,0.268
Scenic (IRE),0.447,0.368,0.427,0.3
Simply Great (FR),1.307,1.066,0.536,0.389
Step Together I (USA),0,0,0.248,0.145
Brunswick (USA),0,0,0.191,0.091
Accordion (IRE),1.565,0.972,0.557,0.426
Karinga Bay (GB),1.367,1.009,0.474,0.351
Garde Royale (IRE),0.883,0.555,0.58,0.432
Tagula (IRE),0.888,0.843,0.491,0.335
Dr Fong (USA),1.151,0.991,0.522,0.365
Ezzoud (IRE),1.025,0.664,0.564,0.41
Spectrum (IRE),0.998,0.795,0.485,0.34
Woodborough (USA),0.851,0.824,0.466,0.313
Second Empire (IRE),1.314,1.108,0.512,0.371
Atraf (GB),1.116,1.05,0.498,0.344
Dr Devious (IRE),0.891,0.758,0.51,0.363
Millkom (GB),0.612,0.477,0.48,0.322
Monsun (GER),1.214,0.776,0.491,0.351
Rossini (USA),0.62,0.61,0.476,0.316
Piccolo (GB),0.978,0.883,0.482,0.33
Whittingham (IRE),0.542,0.511,0.457,0.302
Fayruz (GB),0.63,0.644,0.465,0.306
Danetime (IRE),0.957,0.925,0.516,0.358
Brave Act (GB),0.228,0.337,0.39,0.227
Danehill Dancer (IRE),1.353,1.063,0.53,0.386
Fasliyev (USA),0.955,0.714,0.523,0.369
Silver Wizard (USA),0.968,1.077,0.321,0.189
Entrepreneur (GB),0.782,0.682,0.489,0.341
Komaite (USA),0.771,0.663,0.502,0.345
Green Desert (USA),1.366,0.905,0.57,0.423
Wolfhound (USA),0.787,0.766,0.483,0.325
Inchinor (GB),0.867,0.749,0.516,0.359
Distant Relative (GB),0.689,0.678,0.457,0.308
Polish Precedent (USA),1.054,0.856,0.518,0.373
Case Law (IRE),1.503,1.401,0.524,0.375
Halling (USA),1.48,0.974,0.566,0.42
Royal Academy (USA),0.806,0.598,0.513,0.372
Safawan (GB),1.189,1.043,0.509,0.359
Petoski (GB),1.247,0.9,0.449,0.321
Pennekamp (USA),1.122,0.869,0.492,0.336
Desert Sun (GB),0.805,0.697,0.452,0.303
Selkirk (USA),1.032,0.749,0.506,0.365
Doyoun (GB),1.125,0.937,0.418,0.302
Rubiano (USA),1.603,1.054,0.649,0.47
Colonel Collins (USA),0.83,0.862,0.638,0.48
Makbul (GB),0.95,0.801,0.47,0.325
Vettori (IRE),0.959,0.84,0.472,0.325
Primo Dominie (GB),0.841,0.788,0.465,0.316
Octagonal (NZ),0.572,0.596,0.442,0.29
Dansili (GB),1.294,0.886,0.558,0.41
Mujadil (USA),1.025,0.896,0.506,0.351
Air Express (IRE),0.484,0.367,0.41,0.28
So Factual (USA),0.628,0.734,0.471,0.313
Zamindar (USA),1.067,0.886,0.429,0.287
Lomitas (GB),1.121,0.788,0.546,0.394
Monashee Mountain (USA),1.178,1.032,0.482,0.331
Bien Bien (USA),0.666,0.622,0.464,0.316
Forzando (GB),0.894,0.958,0.414,0.28
Marju (IRE),0.986,0.739,0.521,0.371
Grand Lodge (USA),0.889,0.736,0.477,0.324
Lend A Hand (GB),1.18,1.085,0.495,0.343
King Of Kings (IRE),0.84,0.721,0.445,0.312
Primo Valentino (IRE),0.523,0.419,0.495,0.331
Distant Music (USA),0.523,0.454,0.485,0.318
Trans Island (GB),0.761,0.765,0.421,0.274
Distant View (USA),1.202,0.919,0.51,0.36
Namaqualand (USA),0.883,0.887,0.459,0.313
Tipsy Creek (USA),0.723,0.811,0.413,0.278
Kris S (USA),1.637,0.981,0.574,0.453
Almutawakel (GB),1.367,1.116,0.504,0.362
Rock City (IRE),0.883,1.026,0.417,0.276
Sunday Silence (USA),2.179,1.054,0.62,0.505
Loup Sauvage (USA),0.742,0.583,0.505,0.337
Cois Na Tine (IRE),1.056,0.913,0.544,0.381
Diktat (GB),0.75,0.689,0.492,0.335
Indian Lodge (IRE),0.907,0.841,0.455,0.312
Bahamian Bounty (GB),0.995,0.857,0.515,0.364
French Deputy (USA),1.056,0.807,0.342,0.175
Stravinsky (USA),0.938,0.756,0.506,0.35
Imperial Ballet (IRE),0.721,0.721,0.452,0.301
Mull Of Kintyre (USA),1.053,0.922,0.486,0.332
Titus Livius (FR),0.842,0.802,0.455,0.309
Alhaarth (IRE),1.23,0.895,0.544,0.396
Bertolini (USA),1.291,1.018,0.503,0.36
Lake Coniston (IRE),0.594,0.639,0.44,0.287
Lion Cavern (USA),0.565,0.466,0.491,0.341
Sheikh Albadou (GB),1.576,1.525,0.545,0.409
Dashing Blade (GB),0.93,0.778,0.451,0.321
Imp Society (USA),2.526,1.717,0.656,0.513
Chiefs Crown (USA),1.516,0.948,0.476,0.322
Waky Nao (GB),2.905,2.715,0.495,0.411
Kahyasi (IRE),1.195,0.975,0.504,0.364
Allied Forces (USA),0.738,0.587,0.505,0.353
Known Fact (USA),1.162,1.216,0.353,0.244
Seeking The Gold (USA),0.911,0.567,0.544,0.391
Soviet Lad (USA),0.375,0.367,0.503,0.359
Bahri (USA),1.169,0.733,0.554,0.404
