trainer,IV,A/E,PRB,PRB2
Howard Johnson,1.921,1.006,0.505,0.389
Tim Easterby,0.985,0.815,0.501,0.348
Richard Fahey,1.205,0.85,0.542,0.387
Ferdy Murphy,1.265,0.819,0.493,0.371
Keith Reveley,1.376,0.893,0.552,0.414
John Wade,1.211,1.19,0.449,0.325
L Lungo,1.795,0.867,0.525,0.402
Peter Niven,0.857,1.169,0.402,0.262
William Amos,0.465,0.43,0.429,0.327
C W Thornton,0.426,0.5,0.436,0.279
Richard Guest,1.306,0.839,0.528,0.381
Ron Barr,0.365,0.529,0.492,0.322
Sue Smith,1.511,1.013,0.52,0.395
Wilf Storey,0,0,0.374,0.229
H H G Owen,0,0,0.309,0.144
Kevin Morgan,0.456,0.536,0.414,0.282
Stephen Clark,0.394,0.445,0.415,0.293
Geoffrey Harker,1.788,1.154,0.551,0.422
Kevin Hunter,0,0,0.171,0.041
Barry Leavy,0.474,0.762,0.276,0.171
James Turner,0.93,0.852,0.456,0.324
John Mackie,0.73,0.635,0.483,0.337
Brian Ellison,0.96,0.766,0.51,0.35
Jedd OKeeffe,1.099,1.244,0.485,0.326
Alan Swinbank,1.541,1.063,0.555,0.41
Noel Chance,1.473,0.83,0.542,0.425
Mark Buckley,0.668,0.677,0.46,0.292
Michael Easterby,0.733,0.655,0.484,0.337
Fred Kirby,0.553,0.767,0.305,0.187
Simon Shirley-Beavan,1.291,1.421,0.289,0.218
J P Dodds,0,0,0.2,0.04
Richard Phillips,1.617,1.064,0.475,0.367
Chris Bealby,0.585,0.46,0.483,0.345
Tony Forbes,0,0,0.237,0.107
Ian Brown,1.011,1.047,0.564,0.41
C Von Der Recke,1.788,0.99,0.496,0.384
Martin Todhunter,1.256,0.896,0.473,0.337
Heather Dalton,1.511,1.193,0.485,0.359
Michael Chapman,0.309,0.571,0.327,0.193
Mike Sowersby,0.235,0.52,0.34,0.201
R N Bevis,0,0,0.337,0.185
Steve Gollings,1.075,0.821,0.474,0.334
Malcolm Jefferson,1.427,1.022,0.481,0.359
Noel Wilson,0.698,0.705,0.417,0.287
Paul Midgley,0.427,0.764,0.364,0.223
Sandy Forster,0.52,0.677,0.497,0.334
P Beaumont,0.601,0.499,0.484,0.341
D McCain,0.941,0.806,0.516,0.373
Robert Johnson,1.125,1.135,0.481,0.332
Richard Ford,1.388,0.796,0.49,0.378
John Spearing,1.117,0.885,0.509,0.367
Michael Wigham,1.291,1.1,0.482,0.34
N Waggott,0.775,1.158,0.505,0.33
Ian McInnes,0.548,0.548,0.507,0.351
Christopher Kellett,0.223,0.368,0.352,0.217
Kim Bailey,0.478,0.417,0.447,0.323
Henry Hogarth,2.021,1.358,0.437,0.346
Kate Walton,0.371,0.466,0.453,0.302
Brendan Powell,0.97,0.833,0.474,0.333
Andrew Parker,0.924,0.747,0.417,0.296
Tim Walford,0.447,0.488,0.488,0.332
Barry Murtagh,0.553,1.025,0.289,0.176
Evelyn Slack,0.883,0.838,0.493,0.355
Muriel Naughton,0,0,0.253,0.138
Sharon Watt,1.09,1.013,0.5,0.35
John Weymes,0.758,0.877,0.453,0.303
P C Haslam,1.078,0.892,0.493,0.351
Rayson Nixon,0,0,0.351,0.209
A R Dicken,0,0,0.317,0.195
Mario Hofer,0,0,0.464,0.431
James Moffatt,0.401,0.539,0.362,0.224
D W Barker,1.77,1.502,0.514,0.379
Lynn Siddall,0.664,0.868,0.417,0.261
Lady Susan Watson,0,0,0.632,0.473
Alan Lockwood,0,0,0.471,0.316
Conor Dore,0.264,0.277,0.407,0.243
Miss Kate Milligan,0.423,0.728,0.393,0.269
Charles Pogson,1.13,0.92,0.543,0.41
George Moore,0.635,0.591,0.475,0.324
Tim Fitzgerald,1.017,1.119,0.443,0.31
Chris Grant,0.837,0.727,0.459,0.325
John Quinn,1.197,0.938,0.523,0.377
D J Daly,1.093,0.795,0.578,0.425
John Berry,0.921,0.951,0.492,0.335
Brian Rothwell,0.153,0.296,0.296,0.165
Micky Hammond,0.805,0.821,0.449,0.299
John Norton,0.454,0.597,0.387,0.232
John Stimpson,0.182,0.301,0.369,0.236
Sue Bradburne,0.792,0.697,0.515,0.375
Karen McLintock,0.811,0.753,0.513,0.37
Nicky Richards,2.513,1.104,0.602,0.49
W McKeown,0,0,0.331,0.223
Alison Hamilton,0,0,0.651,0.493
J I A Charlton,0.637,0.543,0.553,0.42
Christopher Wilson,0.553,1.225,0.326,0.209
C Rae,0,0,0.201,0.068
Mrs B K Thomson,0,0,0.235,0.147
Chris Fairhurst,0.734,0.879,0.437,0.287
Mrs E Langley,1.55,2.066,0.512,0.357
John OShea,0.37,0.431,0.42,0.274
Robin Bastiman,1.238,1.194,0.504,0.364
Edwin Tuer,1.177,1.297,0.448,0.312
P Monteith,0.713,0.547,0.488,0.341
James Walton,0.628,0.747,0.452,0.313
Declan Carroll,0.635,0.625,0.475,0.318
Donald Whillans,1.57,2.112,0.526,0.356
Stuart Coltherd,1.004,1.03,0.478,0.335
J S Haldane,0,0,0.236,0.12
Venetia Williams,1.899,1.011,0.563,0.442
Brian Storey,0.536,0.949,0.349,0.213
Dianne Sayer,0.664,0.714,0.563,0.401
P A Blockley,0.96,0.773,0.49,0.338
Mrs S Lamyman,0.309,0.428,0.441,0.274
H Alexander,0,0,0.224,0.114
D W Chapman,0.72,0.775,0.455,0.301
Roger Fisher,0.601,0.564,0.504,0.339
Tina Jackson,0,0,0.265,0.151
Milton Harris,0.673,0.649,0.439,0.299
Nicholas Pomfret,0.726,1.116,0.296,0.157
Simon Griffiths,1.125,1.397,0.387,0.29
A M Crow,1.223,1.086,0.554,0.408
Miss Maria D Myco,5.811,5.526,0.583,0.514
Mrs T Corrigan,3.32,2.293,0.775,0.706
Steve Flook,0.387,0.302,0.463,0.341
Mrs S M Barker,0,0,0.697,0.487
S J Robinson,0,0,0.159,0.101
Mrs S E Grant,0,0,0.545,0.298
M V Coglan,1.66,3.703,0.397,0.298
Niall Saville,0,0,0.354,0.257
Mrs Joanne Brown,0,0,0.067,0.013
David M Easterby,1.291,0.55,0.385,0.302
M J Brown,0,0,0.195,0.108
C Storey,0,0,0.425,0.263
D M Forster,2.324,1.264,0.527,0.423
Mrs R L Elliot,0.528,0.547,0.469,0.317
Peter Maddison,0.726,1.103,0.448,0.294
John Dixon,0.83,2.066,0.361,0.238
Michael Dods,0.845,0.604,0.59,0.435
Kevin Ryan,1.481,0.968,0.545,0.406
C A Cyzer,0.803,0.937,0.465,0.316
Miss Kariana Key,0.505,0.626,0.362,0.227
John Wainwright,0.488,0.689,0.413,0.265
Barney Curley,1.788,1.046,0.41,0.316
K R Burke,1.282,0.934,0.538,0.388
Alan Berry,0.23,0.348,0.358,0.211
Bryan Smart,1.056,0.902,0.51,0.352
David Barron,1.061,0.743,0.566,0.405
David Evans,0.826,0.685,0.497,0.345
M J Polglase,0.237,0.364,0.371,0.214
Derek Shaw,0.639,0.686,0.41,0.271
David Nicholls,1.311,1.012,0.52,0.38
J Parkes,0.572,0.768,0.376,0.23
Ian Semple,1.403,1.042,0.551,0.406
Bruce Mactaggart,0,0,0.287,0.157
Roy Bowring,1.148,1.207,0.493,0.348
Jim Goldie,0.797,0.676,0.501,0.353
Mrs J R Ramsden,1.367,0.899,0.556,0.4
Peter Hiatt,0.671,0.709,0.464,0.316
Nigel Twiston-Davies,1.518,0.942,0.496,0.369
J Hetherton,0.539,0.696,0.466,0.314
James Bethell,1.112,1.012,0.493,0.341
Alan Coogan,0.942,1.533,0.438,0.291
Ann Stokell,0.3,0.509,0.405,0.244
Rae Guest,1.131,0.876,0.55,0.396
Tony Newcombe,0.812,0.864,0.458,0.311
Paul Cole,0.959,0.655,0.508,0.359
Mark Johnston,1.858,0.966,0.572,0.43
James Given,0.745,0.699,0.474,0.323
Hughie Morrison,1.301,0.897,0.564,0.412
Ed Dunlop,1.676,0.942,0.592,0.447
E J ONeill,2.269,1.245,0.601,0.479
Andrew Crook,0.221,0.404,0.297,0.17
R P Elliott,0.726,1.032,0.371,0.233
Phil McEntee,0.528,0.555,0.416,0.264
Miss V Haigh,0.567,0.75,0.417,0.25
J S Moore,0.941,0.798,0.485,0.333
Mick Channon,1.145,0.755,0.545,0.392
Richard Whitaker,0.803,0.765,0.539,0.371
Nigel Tinkler,0.452,0.528,0.45,0.289
Gerard Butler,1.215,0.784,0.561,0.41
Julie Camacho,1.291,0.994,0.557,0.427
Mark Brisbourne,0.806,0.696,0.515,0.357
Jimmy OReilly,0.204,0.384,0.383,0.232
K W Hogg,0.352,0.698,0.331,0.187
Jamie Osborne,1.029,0.731,0.539,0.379
Brian Meehan,1.146,0.843,0.549,0.401
G C H Chung,0.762,0.664,0.482,0.335
Ann Duffield,1.527,1.238,0.603,0.447
Eric Alston,0.863,0.846,0.514,0.358
Dean Ivory,0.818,0.825,0.489,0.332
Ralph Beckett,1.66,1.299,0.543,0.401
A Dickman,1.859,1.418,0.606,0.46
David Thompson,0.312,0.424,0.444,0.298
M J Ryan,1.386,1.222,0.451,0.327
David Loder,2.251,0.956,0.584,0.455
Lady Herries,1.516,1.003,0.538,0.392
Ian Emmerson,1.603,1.226,0.497,0.355
John Balding,0.697,0.843,0.439,0.293
M J Wallace,0.76,0.563,0.546,0.391
Bryn Palling,0.894,1.142,0.464,0.314
Paul DArcy,0.662,0.495,0.503,0.346
Ray Craggs,0.623,0.436,0.555,0.393
D R MacLeod,0.332,0.56,0.445,0.295
N A Callaghan,1.435,0.886,0.539,0.394
Paul Howling,0.826,0.64,0.496,0.336
Chris Wall,1.403,0.971,0.57,0.417
Miss D A McHale,0.545,0.863,0.35,0.207
Colin Teague,0.283,0.594,0.266,0.148
Mrs N Macauley,0.937,0.898,0.487,0.336
Lisa Williamson,0.36,0.541,0.345,0.211
John Best,1.195,0.998,0.444,0.314
Mrs H Sweeting,1.062,1.017,0.508,0.356
W H Tinning,1.291,1.412,0.453,0.307
Miss J R Tooth,0.447,0.562,0.401,0.269
John Coupland,0.505,0.608,0.492,0.324
Alan Brown,0,0,0.347,0.185
Milton Bradley,0.919,0.852,0.498,0.346
Christine Dunnett,1.142,1.254,0.427,0.289
Mark H Tompkins,1.264,1.02,0.545,0.396
Ms Deborah J Evans,0.478,0.616,0.445,0.284
Julian Poulton,0.657,0.636,0.471,0.314
Robert Cowell,0.973,0.82,0.476,0.328
Alan Bailey,0.738,0.773,0.467,0.316
Jeremy Glover,0.535,0.558,0.457,0.302
William Haggas,1.711,0.899,0.63,0.482
Owen Brennan,1.011,1.042,0.437,0.312
Linda Stubbs,0.768,0.571,0.534,0.37
Ian Wood,0.559,0.72,0.42,0.266
Sir Mark Prescott Bt,2.283,0.923,0.584,0.444
Michael Bell,1.462,0.897,0.509,0.373
Mel Brittain,0.545,0.615,0.499,0.328
Jeremy Noseda,2.159,0.969,0.636,0.496
Tim Etherington,0.911,0.954,0.484,0.345
Reg Hollinshead,0.697,0.724,0.51,0.347
Michael Mullineaux,0.296,0.547,0.366,0.225
Fred Watson,0,0,0.208,0.102
Bill Turner,0.955,0.874,0.504,0.349
B W Hills,1.756,0.949,0.611,0.466
Stuart Williams,1.008,0.729,0.51,0.353
Terry Clement,0.692,0.95,0.381,0.245
Jennie Candlish,0.947,0.991,0.414,0.285
Alistair Whillans,0.755,0.814,0.461,0.324
Thomas Cuthbert,0,0,0.372,0.172
Jeff Pearce,1.395,1.187,0.564,0.42
Roger Charlton,1.982,1.052,0.595,0.456
Michael Jarvis,1.629,0.931,0.576,0.425
Robert Gray,1.341,1.232,0.416,0.285
Ronald Harris,0.998,0.832,0.524,0.376
Neville Bycroft,0.365,0.562,0.435,0.273
Chris Dwyer,0.573,0.53,0.472,0.306
Charles Smith,0.548,0.764,0.424,0.268
G Wragg,1.325,0.944,0.547,0.401
Peter Bowen,1.761,0.871,0.523,0.409
Peter Grayson,0.679,0.768,0.482,0.326
Trevor Wall,0.439,0.64,0.362,0.215
Ken Clutterbuck,0.484,0.89,0.339,0.203
R F Johnson Houghton,1.12,0.755,0.583,0.431
Alan Jarvis,0.998,0.983,0.484,0.33
Sir Michael Stoute,2.49,0.966,0.646,0.513
Ed McMahon,1.153,0.988,0.531,0.377
Tom Tate,1.897,1.39,0.525,0.391
Linda Perratt,0.902,1.417,0.369,0.227
Brian Baugh,0.33,0.452,0.424,0.273
Lucinda Featherstone,0.52,0.874,0.418,0.277
Mark Usher,1.156,1.249,0.446,0.306
Ronald Thompson,0.223,0.354,0.294,0.158
Stef Higgins,1.196,0.85,0.564,0.411
Nick Littmoden,1.026,0.782,0.499,0.349
Clive Brittain,0.798,0.799,0.475,0.322
Giles Bravery,1.041,1.091,0.455,0.322
Luca Cumani,1.606,0.971,0.556,0.408
John Dunlop,1.57,0.955,0.572,0.424
Harriet Graham,0.694,0.742,0.421,0.287
Patrick Gilligan,1.999,1.32,0.594,0.46
Walter Swinburn,1.326,0.957,0.538,0.384
M J Gingell,0.134,0.314,0.266,0.143
William Jarvis,1.523,1.029,0.578,0.436
